curriculum	unit_code	unit_title	lo_code	lo_title	ac_code	ac_text
gcse-science-physics	PHY-1	Key concepts of physics	LO1	Specification block 1 (1.1 to 1.4)	1.1	Recall and use the SI unit for physical quantities, as listed in Appendix 3
gcse-science-physics	PHY-1	Key concepts of physics	LO1	Specification block 1 (1.1 to 1.4)	1.2	Recall and use multiples and sub-multiples of units, including giga (G), mega (M), kilo (k), centi (c), milli (m), micro (μ) and nano (n)
gcse-science-physics	PHY-1	Key concepts of physics	LO1	Specification block 1 (1.1 to 1.4)	1.3	Be able to convert between different units, including hours to seconds
gcse-science-physics	PHY-1	Key concepts of physics	LO1	Specification block 1 (1.1 to 1.4)	1.4	Use significant figures and standard form where appropriate
gcse-science-physics	PHY-2	Motion and forces	LO1	Specification block 1 (2.1 to 2.9)	2.1	Explain that a scalar quantity has magnitude (size) but no specific direction
gcse-science-physics	PHY-2	Motion and forces	LO1	Specification block 1 (2.1 to 2.9)	2.2	Explain that a vector quantity has both magnitude (size) and a specific direction
gcse-science-physics	PHY-2	Motion and forces	LO1	Specification block 1 (2.1 to 2.9)	2.3	Explain the difference between vector and scalar quantities
gcse-science-physics	PHY-2	Motion and forces	LO1	Specification block 1 (2.1 to 2.9)	2.4a	Recall vector and scalar quantities, including displacement/distance
gcse-science-physics	PHY-2	Motion and forces	LO1	Specification block 1 (2.1 to 2.9)	2.4b	Recall vector and scalar quantities, including velocity/speed
gcse-science-physics	PHY-2	Motion and forces	LO1	Specification block 1 (2.1 to 2.9)	2.4c	Recall vector and scalar quantities, including acceleration
gcse-science-physics	PHY-2	Motion and forces	LO1	Specification block 1 (2.1 to 2.9)	2.4d	Recall vector and scalar quantities, including force
gcse-science-physics	PHY-2	Motion and forces	LO1	Specification block 1 (2.1 to 2.9)	2.4e	Recall vector and scalar quantities, including weight/mass
gcse-science-physics	PHY-2	Motion and forces	LO1	Specification block 1 (2.1 to 2.9)	2.4f	Recall vector and scalar quantities, including momentum
gcse-science-physics	PHY-2	Motion and forces	LO1	Specification block 1 (2.1 to 2.9)	2.4g	Recall vector and scalar quantities, including energy
gcse-science-physics	PHY-2	Motion and forces	LO1	Specification block 1 (2.1 to 2.9)	2.5	Recall that velocity is speed in a stated direction
gcse-science-physics	PHY-2	Motion and forces	LO1	Specification block 1 (2.1 to 2.9)	2.6a	Recall and use the equations (average) speed (metre per second, m/s) = distance (metre, m) / time (s)
gcse-science-physics	PHY-2	Motion and forces	LO1	Specification block 1 (2.1 to 2.9)	2.6b	Recall and use the equations distance travelled (metre, m) = average speed (metre per second, m/s) × time (s)
gcse-science-physics	PHY-2	Motion and forces	LO1	Specification block 1 (2.1 to 2.9)	2.7	Analyse distance/time graphs including determination of speed from the gradient
gcse-science-physics	PHY-2	Motion and forces	LO1	Specification block 1 (2.1 to 2.9)	2.8	Recall and use the equation acceleration (metre per second squared, m/s2) = change in velocity (metre per second, m/s) / time taken (second, s)
gcse-science-physics	PHY-2	Motion and forces	LO1	Specification block 1 (2.1 to 2.9)	2.9	Use the equation (final velocity)2 ((metre/second)2, (m/s)2) - (initial velocity)2 ((metre/second)2, (m/s)2) = 2 × acceleration (metre per second squared, m/s2) × distance (metre, m)
gcse-science-physics	PHY-2	Motion and forces	LO2	Specification block 2 (2.10a to 2.19)	2.10a	Analyse velocity/time graphs to compare acceleration from gradients qualitatively
gcse-science-physics	PHY-2	Motion and forces	LO2	Specification block 2 (2.10a to 2.19)	2.10b	Analyse velocity/time graphs to calculate the acceleration from the gradient (for uniform acceleration only)
