curriculum	unit_code	unit_title	lo_code	lo_title	ac_code	ac_text
gcse-science-biology	BIO-1	Key concepts in biology	LO1	Specification block 1 (1.1a to 1.9)	1.1a	Explain how the sub-cellular structures of eukaryotic and prokaryotic cells are related to their functions, including animal cells – nucleus, cell membrane, mitochondria and ribosomes
gcse-science-biology	BIO-1	Key concepts in biology	LO1	Specification block 1 (1.1a to 1.9)	1.1b	Explain how the sub-cellular structures of eukaryotic and prokaryotic cells are related to their functions, including plant cells – nucleus, cell membrane, cell wall, chloroplasts, mitochondria, vacuole and ribosomes
gcse-science-biology	BIO-1	Key concepts in biology	LO1	Specification block 1 (1.1a to 1.9)	1.1c	Explain how the sub-cellular structures of eukaryotic and prokaryotic cells are related to their functions, including bacteria – chromosomal DNA, plasmid DNA, cell membrane, ribosomes and flagella
gcse-science-biology	BIO-1	Key concepts in biology	LO1	Specification block 1 (1.1a to 1.9)	1.2a	Describe how specialised cells are adapted to their function, including sperm cells – acrosome, haploid nucleus, mitochondria and tail
gcse-science-biology	BIO-1	Key concepts in biology	LO1	Specification block 1 (1.1a to 1.9)	1.2b	Describe how specialised cells are adapted to their function, including egg cells – nutrients in the cytoplasm, haploid nucleus and changes in the cell membrane after fertilisation
gcse-science-biology	BIO-1	Key concepts in biology	LO1	Specification block 1 (1.1a to 1.9)	1.2c	Describe how specialised cells are adapted to their function, including ciliated epithelial cells
gcse-science-biology	BIO-1	Key concepts in biology	LO1	Specification block 1 (1.1a to 1.9)	1.3	Explain how changes in microscope technology, including electron microscopy, have enabled us to see cell structures and organelles with more clarity and detail than in the past and increased our understanding of the role of sub-cellular structures
gcse-science-biology	BIO-1	Key concepts in biology	LO1	Specification block 1 (1.1a to 1.9)	1.4	Demonstrate an understanding of number, size and scale, including the use of estimations and explain when they should be used
gcse-science-biology	BIO-1	Key concepts in biology	LO1	Specification block 1 (1.1a to 1.9)	1.5a	Demonstrate an understanding of the relationship between quantitative units in relation to cells, including milli (10−3)
gcse-science-biology	BIO-1	Key concepts in biology	LO1	Specification block 1 (1.1a to 1.9)	1.5b	Demonstrate an understanding of the relationship between quantitative units in relation to cells, including micro (10−6)
gcse-science-biology	BIO-1	Key concepts in biology	LO1	Specification block 1 (1.1a to 1.9)	1.5c	Demonstrate an understanding of the relationship between quantitative units in relation to cells, including nano (10−9)
gcse-science-biology	BIO-1	Key concepts in biology	LO1	Specification block 1 (1.1a to 1.9)	1.5d	Demonstrate an understanding of the relationship between quantitative units in relation to cells, including pico (10−12)
gcse-science-biology	BIO-1	Key concepts in biology	LO1	Specification block 1 (1.1a to 1.9)	1.5e	Demonstrate an understanding of the relationship between quantitative units in relation to cells, including calculations with numbers written in standard form
gcse-science-biology	BIO-1	Key concepts in biology	LO1	Specification block 1 (1.1a to 1.9)	1.6	Core Practical: Investigate biological specimens using microscopes, including magnification calculations and labelled scientific drawings from observations
gcse-science-biology	BIO-1	Key concepts in biology	LO1	Specification block 1 (1.1a to 1.9)	1.7	Explain the mechanism of enzyme action including the active site and enzyme specificity
gcse-science-biology	BIO-1	Key concepts in biology	LO1	Specification block 1 (1.1a to 1.9)	1.8	Explain how enzymes can be denatured due to changes in the shape of the active site
gcse-science-biology	BIO-1	Key concepts in biology	LO1	Specification block 1 (1.1a to 1.9)	1.9	Explain the effects of temperature, substrate concentration and pH on enzyme activity
gcse-science-biology	BIO-1	Key concepts in biology	LO2	Specification block 2 (1.10 to 1.17)	1.10	Core Practical: Investigate the effect of pH on enzyme activity
gcse-science-biology	BIO-1	Key concepts in biology	LO2	Specification block 2 (1.10 to 1.17)	1.11	Demonstrate an understanding of rate calculations for enzyme activity
gcse-science-biology	BIO-1	Key concepts in biology	LO2	Specification block 2 (1.10 to 1.17)	1.12	Explain the importance of enzymes as biological catalysts in the synthesis of carbohydrates, proteins and lipids and their breakdown into sugars, amino acids and fatty acids and glycerol
gcse-science-biology	BIO-1	Key concepts in biology	LO2	Specification block 2 (1.10 to 1.17)	1.13B	Core Practical: Investigate the use of chemical reagents to identify starch, reducing sugars, proteins and fats
gcse-science-biology	BIO-1	Key concepts in biology	LO2	Specification block 2 (1.10 to 1.17)	1.14B	Explain how the energy contained in food can be measured using calorimetry
gcse-science-biology	BIO-1	Key concepts in biology	LO2	Specification block 2 (1.10 to 1.17)	1.15	Explain how substances are transported into and out of cells, including by diffusion, osmosis and active transport
gcse-science-biology	BIO-1	Key concepts in biology	LO2	Specification block 2 (1.10 to 1.17)	1.16	Core Practical: Investigate osmosis in potatoes
gcse-science-biology	BIO-1	Key concepts in biology	LO2	Specification block 2 (1.10 to 1.17)	1.17	Calculate percentage gain and loss of mass in osmosis
gcse-science-biology	BIO-2	Cells and control	LO1	Specification block 1 (2.1 to 2.14)	2.1	Describe mitosis as part of the cell cycle, including the stages interphase, prophase, metaphase, anaphase and telophase and cytokinesis
gcse-science-biology	BIO-2	Cells and control	LO1	Specification block 1 (2.1 to 2.14)	2.2	Describe the importance of mitosis in growth, repair and asexual reproduction
gcse-science-biology	BIO-2	Cells and control	LO1	Specification block 1 (2.1 to 2.14)	2.3	Describe the division of a cell by mitosis as the production of two daughter cells, each with identical sets of chromosomes in the nucleus to the parent cell, and that this results in the formation of two genetically identical diploid body cells
gcse-science-biology	BIO-2	Cells and control	LO1	Specification block 1 (2.1 to 2.14)	2.4	Describe cancer as the result of changes in cells that lead to uncontrolled cell division
gcse-science-biology	BIO-2	Cells and control	LO1	Specification block 1 (2.1 to 2.14)	2.5a	Describe growth in organisms, including cell division and differentiation in animals
gcse-science-biology	BIO-2	Cells and control	LO1	Specification block 1 (2.1 to 2.14)	2.5b	Describe growth in organisms, including cell division, elongation and differentiation in plants
gcse-science-biology	BIO-2	Cells and control	LO1	Specification block 1 (2.1 to 2.14)	2.6	Explain the importance of cell differentiation in the development of specialised cells
gcse-science-biology	BIO-2	Cells and control	LO1	Specification block 1 (2.1 to 2.14)	2.7	Demonstrate an understanding of the use of percentiles charts to monitor growth
gcse-science-biology	BIO-2	Cells and control	LO1	Specification block 1 (2.1 to 2.14)	2.8	Describe the function of embryonic stem cells, stem cells in animals and meristems in plants
gcse-science-biology	BIO-2	Cells and control	LO1	Specification block 1 (2.1 to 2.14)	2.9	Discuss the potential benefits and risks associated with the use of stem cells in medicine
gcse-science-biology	BIO-2	Cells and control	LO1	Specification block 1 (2.1 to 2.14)	2.10B	Describe the structures and functions of the brain including the cerebellum, cerebral hemispheres and medulla oblongata
